Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2010","2010","6123","Value","g/cap/d","24","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2011","2011","6123","Value","g/cap/d","24","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2012","2012","6123","Value","g/cap/d","25","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2013","2013","6123","Value","g/cap/d","26.1","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2014","2014","6123","Value","g/cap/d","27.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2015","2015","6123","Value","g/cap/d","28.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2016","2016","6123","Value","g/cap/d","27.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2017","2017","6123","Value","g/cap/d","28.1","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2018","2018","6123","Value","g/cap/d","26.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2019","2019","6123","Value","g/cap/d","28.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2020","2020","6123","Value","g/cap/d","27.7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4004","Protein supply","2021","2021","6123","Value","g/cap/d","25.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2010","2010","6123","Value","g/cap/d","7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2011","2011","6123","Value","g/cap/d","7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2012","2012","6123","Value","g/cap/d","7.1","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2013","2013","6123","Value","g/cap/d","7.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2014","2014","6123","Value","g/cap/d","8.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2015","2015","6123","Value","g/cap/d","8.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2016","2016","6123","Value","g/cap/d","8.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2017","2017","6123","Value","g/cap/d","8.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4005","Fat supply","2018","2018","6123","Value","g/cap/d","8.1","E","Estimated value",""
